町名,丁目,可燃ごみ（週2回）,不燃ごみ（月2回）,資源（新聞、雑誌、雑がみ、段ボール、びん、缶、ペットボトル）（週1回）,資源（プラスチック）（週1回）,説明
後楽,1丁目,火曜日・金曜日,第1・第3木曜日,水曜日,土曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
後楽,2丁目,火曜日・金曜日,第1・第3木曜日,土曜日,水曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
春日,1丁目,火曜日・金曜日,第1・第3木曜日,水曜日,土曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
春日,2丁目,月曜日・木曜日,第1・第3土曜日,金曜日,火曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
小石川,1丁目1～16番,月曜日・木曜日,第1・第3土曜日,火曜日,金曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
小石川,1丁目17～28番,水曜日・土曜日,第2・第4金曜日,木曜日,月曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
小石川,2・3丁目,月曜日・木曜日,第1・第3土曜日,金曜日,火曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
小石川,4丁目1～14番,月曜日・木曜日,第1・第3土曜日,金曜日,火曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
小石川,4丁目15～22番,月曜日・木曜日,第2・第4土曜日,金曜日,火曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
小石川,5丁目,月曜日・木曜日,第2・第4土曜日,金曜日,火曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
白山,1丁目,月曜日・木曜日,第1・第3水曜日,火曜日,金曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
白山,2・5丁目,水曜日・土曜日,第2・第4金曜日,木曜日,月曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
白山,3・4丁目,水曜日・土曜日,第1・第3金曜日,木曜日,月曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
千石,1～4丁目,水曜日・土曜日,第1・第3金曜日,木曜日,月曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
水道,1・2丁目,火曜日・金曜日,第1・第3木曜日,土曜日,水曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
小日向,1～4丁目,火曜日・金曜日,第1・第3月曜日,土曜日,水曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
大塚,1・2丁目,火曜日・金曜日,第1・第3月曜日,土曜日,水曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
大塚,3～6丁目,月曜日・木曜日,第2・第4土曜日,金曜日,火曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
関口,1～3丁目,火曜日・金曜日,第2・第4月曜日,土曜日,水曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
目白台,1～3丁目,火曜日・金曜日,第2・第4月曜日,土曜日,水曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
音羽,1・2丁目,火曜日・金曜日,第1・第3月曜日,土曜日,水曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
本郷,1・2丁目,火曜日・金曜日,第1・第3木曜日,水曜日,土曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
本郷,3～7丁目,火曜日・金曜日,第2・第4木曜日,水曜日,土曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
湯島,1丁目,火曜日・金曜日,第1・第3木曜日,水曜日,土曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
湯島,2～4丁目,火曜日・金曜日,第2・第4木曜日,水曜日,土曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
西片,1・2丁目,月曜日・木曜日,第1・第3土曜日,火曜日,金曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
向丘,1・2丁目,月曜日・木曜日,第1・第3水曜日,火曜日,金曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
弥生,1・2丁目,月曜日・木曜日,第1・第3水曜日,火曜日,金曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
根津,1・2丁目,月曜日・木曜日,第2・第4水曜日,火曜日,金曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
千駄木,1・2丁目,月曜日・木曜日,第2・第4水曜日,火曜日,金曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
千駄木,3～5丁目,水曜日・土曜日,第1・第3火曜日,月曜日,木曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
本駒込,1・2丁目,水曜日・土曜日,第2・第4金曜日,月曜日,木曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
本駒込,3～6丁目,水曜日・土曜日,第2・第4火曜日,月曜日,木曜日,資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）
